Title,Author,Quote,Remarks,Favorite
Little Fires Everywhere,Celeste Ng,[W]hat could be less satisfying than stealing from someone so endowed that they never even noticed what you'd taken?,,No
Little Fires Everywhere,Celeste Ng,"She had learned that when people were bent on doing something they believed was a good deed, it was usually impossible to dissuade them.",,No
Little Fires Everywhere,Celeste Ng,He disliked high school groups: teen didn't listen. Teens could pay attention to nothing but the sexuality billowing off each other like steam.,,No
Little Fires Everywhere,Celeste Ng,"In her parents' house, things had been good or bad, right or wrong, useful or wasteful. There had been nothing in between. Here, she found, everything had nuance; everything had an unrevealed side or unexplored depths. Everything was worth looking at more closely.",,No
Little Fires Everywhere,Celeste Ng,"""You'll always be sad about this,"" Mia said softly. ""But it doesn't mean you made the wrong choice. It's just something that you have to carry.""",,No
Little Fires Everywhere,Celeste Ng,"""I can save you some time,"" said Ed Lim. ""There really aren't very many. So May Ling has no dolls that look like her, and no books with pictures of people that look like her."" Ed Lim paced a few more steps. Nearly two decades later, others would raise this question, would talk about books as <em>mirrors</em> and  <em>windows</em>, and Ed Lim, tired by then, would find himself as frustrated as he was grateful.  <em>We've always known</em>, he would think;  <em>what took you so long?</em>",,No
Little Fires Everywhere,Celeste Ng,"But the truth was — as Mr. Richardson recognized — that an angry Asian man didn't fit the public's expectations, and was therefore unnerving. Asian men could be socially inept and incompetent and ridiculous, like a Long Duk Dong, or at best unthreatening and slightly buffoonish, like a Jackie Chan. They were not allowed to be angry and articulate and powerful. And possibly right, Mr. Richardson thought uneasily.",,No
Little Fires Everywhere,Celeste Ng,"But the problem with rules, he reflected, was that they implied a right way and a wrong way to do things. When, in fact, most of the time there were simply <em>ways</em>, none of them quite wrong or quite right, and nothing to tell you for sure which side of the line you stood on.",,No
Little Fires Everywhere,Celeste Ng,"""It bothers you, doesn't it?"" Mia said suddenly. ""I think you can't imagine. Why anyone would choose a different life from the one you've got. Why anyone might want something other than a big house with a big lawn, a fancy car, a job in an office. Why anyone would choose anything different that what you'd choose."" Now it was her turn to study Mrs. Richardson, as if the key to understanding her were coded into her face. ""It terrifies you. That you missed out on something. That you gave up something you didn't know you wanted."" A sharp, pitying smile pinched the corners of her lips. ""What was it? Was it a boy? Was it a vocation? Or was it a whole life?""",,No
Little Fires Everywhere,Celeste Ng,"<em>Everything</em>, she had come to understand, was something like infinity. They might never come close, but they could approach a point where, for all intents and purposes, she knew all that she needed to know. It would simply take time, and patience. For now, she knew enough.",,No
Little Fires Everywhere,Celeste Ng,"All up and down the streets the houses looked like any others — but inside them were people who might be happy, or taking refuge, or steeling themselves to go out into the world, searching for something better. So many lives she would never know about, unfolding behind those doors.",,No
Little Fires Everywhere,Celeste Ng,"Years might pass and they might change, both of them, but she was sure she would still know her own child, just as she would know herself, no matter how long it had been. She was certain of this. She would spend months, years, the rest of her life looking for her daughter, searching the face of every young woman she met for as long as it took, searching for a spark of familiarity in the faces of strangers.",,No
Find Me,André Aciman,Aren't those the absolute worst scenarios: the things that might have happened but never did and might still happen though we've given up hoping they could.,,No
Find Me,André Aciman,"Why should that surprise you? You lead separate lives, regardless of how they intersect or how many vigils the two of you share.",,No
Find Me,André Aciman,Perhaps going about one's daily life with all its paltry joys and sorrows is the surest way of keeping true life at bay.,,No
Find Me,André Aciman,"To me it proves that life and time are not in sync. It's as if time was all wrong and the wife's life was lived on the wrong bank of the river or, worse yet, on two banks, with neither being the right one. None of us may want to claim to live life in two parallel lanes but all have many lives, one tucked beneath or right alongside the other. some lives wait their turn because they haven't been lived at all, while others die before they've lived out their time, and some are waiting to be relived because they haven't been lived enough. Basically, we don't know how to think of time, because time doesn't really understand time the way we do, because time couldn't care less what we think of time, because time is just a wobbly, unreliable metaphor for how we think about life. Because ultimately it isn't time that is wrong for us, or we for time. It may be life itself that is wrong.",,No
Find Me,André Aciman,"What these men have to offer I already have. And everything they want they don't deserve, or I may not have in me to give. That's the sad part.",,No
Find Me,André Aciman,"The words we'd spoken were sufficiently vague for us not to know what the other meant or what we ourselves meant, yet we both immediately sensed, without knowing why, that we'd seized the other's underlying meaning precisely because it wasn't spoken.",,No
Find Me,André Aciman,"My problem is discovering what not faking is — and this is difficult and scary for me, because my bearings are always pitched to who I ought to be, not to who I am, to what I should have, not to what I never knew I craved, to life as I found it, not to the life I've let myself think was only a dream.",,No
Find Me,André Aciman,"""Love is easy,"" I said. ""It's the courage to love and to trust that matters, and not all of us have both. But what you may not know is that you taught me far more than I've taught you! These vigils, for instance, are perhaps nothing more than my desire to tread in your footsteps, to share with you anything and everything and be in your life as I always want you to be in mine. I've taught you how to earmark moments where time stops, but these moments mean very little unless they're echoed in someone you love.""",,No
Find Me,André Aciman,"I noticed that he tended to start some sentences with the word <em>and</em>, perhaps to smooth out the jolting or missing transaction between unrelated subjects, especially when broaching something slightly more probing, more personal.",,No
Find Me,André Aciman,"Just kiss me, will you, if only to help me get over being so visibly flustered.",,No
Find Me,André Aciman,Perhaps he'd seen that sometimes it's best to stop things when they're perfect rather than race on and watch them sour.,,No
Find Me,André Aciman,"We haven't spoken in ages, and I don't know that we're friends, though I'm sure we will always be. He's always read me extremely well, and I have a feeling that he suspects that if I never write it's not because I don't care but because a part of me still does and always will, just as I know he still cares, which is why he too never writes. And knowing this is good enough for me.",,No
Find Me,André Aciman,"Sometimes I want to tell him things, but then I put it off, and even telling myself that I'm putting it off gives me some pleasure, though we may never speak.",,No
Find Me,André Aciman,"Maybe because I never really let go or lose myself with others. After an instant of passion, I always fall back to being the autonomous me.",,No
Find Me,André Aciman,"But my younger self bungled and sped through so many things. An older self is more frugal, more cautious, and therefore more reluctant — or more desperate — to rush into things he already fears he might never find again.",,No
Find Me,André Aciman,"""Fate, if it exists at all,"" he said, ""has strange ways of teasing us with patterns that may not be patterns at all but that hint at a vestigial meaning still being worked out.""",,No
Find Me,André Aciman,"Then maybe when you get to be my age and the dearth of things life has to offer becomes more evident by the day, maybe then you can start noticing those tiny accidents that turn out to be miracles and that can redefine our lives and cast an incandescent luster over things that, in the great scheme of things, could easily be meaningless. But this is not meaningless.",,No
Find Me,André Aciman,"Because the young teenager still lingers inside me, and occasionally utters a few words, then ducks and goes into hiding. Because he's afraid of asking, because he think you'll laugh that he asked, because even trusting is difficult. I'm shy, I'm scared, and I'm old.",,No
