"Your Kindle Notes For:",,,
"THE ELEPHANT IN THE BRAIN: HIDDEN MOTIVES IN EVERYDAY LIFE",,,
"by Kevin Simler, Robin Hanson",,,
"Free Kindle instant preview:",,,
"https://a.co/ggRrQok",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 156","","medicine isn’t just about health—it’s also an exercise in conspicuous caring."
"Highlight (Yellow)","Location 188","","We, human beings, are a species that’s not only capable of acting on hidden motives—we’re designed to do it. Our brains are built to act in our self-interest while at the same time trying hard not to appear selfish in front of other people. And in order to throw them off the trail, our brains often keep “us,” our conscious minds, in the dark. The less we know of our own ugly motives, the easier it is to hide them from others. Self-deception is therefore strategic, a ploy our brains use to look good while behaving badly."
"Highlight (Yellow)","Location 213","","“We should often blush at our noblest deeds,” wrote François de La Rochefoucauld in the 17th century, “if the world were to see all their underlying motives.”"
"Highlight (Yellow)","Location 224","","Veblen famously coined the term “conspicuous consumption” to explain the demand for luxury goods. When consumers are asked why they bought an expensive watch or high-end handbag, they often cite material factors like comfort, aesthetics, and functionality. But Veblen argued that, in fact, the demand for luxury goods is driven largely by a social motive: flaunting one’s wealth."
"Highlight (Yellow)","Location 245","","We now realize that our brains aren’t just hapless and quirky—they’re devious. They intentionally hide information from us, helping us fabricate plausible prosocial motives to act as cover stories for our less savory agendas."
"Highlight (Yellow)","Location 277","","But what happens when our hidden motives don’t line up with a tribal or partisan agenda? In areas of life in which we’re all similarly complicit in hiding our motives, who will call attention to them?"
"Highlight (Yellow)","Location 286","","Under the feel-good veneer of win-win cooperation—teaching kids, healing the sick, celebrating creativity—our institutions harbor giant, silent furnaces of intra-group competitive signaling, where trillions of dollars of wealth, resources, and human effort are being shoveled in and burned to ash every year, largely for the purpose of showing off. Now, our institutions do end up achieving many of their official, stated goals, but they’re often rather inefficient because they’re simultaneously serving purposes no one is eager to acknowledge."
"Highlight (Yellow)","Location 324","","When a theory emphasizes altruism, cooperation, and other feel-good motives, for example, people naturally want to share it, perhaps even shout it from the rooftops: “By working together, we can achieve great things!” It reflects well on both speakers and listeners to be associated with something so inspirational. This is the recipe for ideas that draw large audiences and receive standing ovations, the time-honored premise of sermons, TED talks, commencement speeches, and presidential inaugurations. Many other ideas, however, face an uphill battle and may never achieve widespread acceptance. When an idea emphasizes competition and other ugly motives, people are understandably averse to sharing it. It sucks the energy out of the room."
"Highlight (Yellow)","Location 457","","Knowledge suppression is useful only when two conditions are met: (1) when others have partial visibility into your mind; and (2) when they’re judging you, and meting out rewards or punishments, based on what they “see” in your mind."
"Highlight (Yellow)","Location 496","","Many of us would prefer the keys to our intelligence to be found somewhere in the pleasing light of ecological challenges, implying that our extra gray matter evolved in service of cooperation. “We grew smarter,” the story would go, “so we could learn more, collaborate better against the harsh external world, and improve outcomes for everyone”: win-win-win. But many signs suggest that the keys to our intelligence lie in the harsh, unflattering light of social challenges, the arena of zero-sum games in which one person’s gain is another’s loss. It’s not that we’re completely unaware of these competitive, zero-sum instincts—we just tend to give them less prominence when explaining our behavior."
"Highlight (Yellow)","Location 529","","Often a species’ most important competitor is itself."
"Highlight (Yellow)","Location 643","","Coalitions are what makes politics so political. Without the ability to form teams and work together toward shared goals, a species’ “political” life will be stunted at the level of individual competition—every chicken for itself, pecking at every other chicken. But add just a dash of cooperation to the mix, and suddenly a species’ political life begins to bloom."
"Highlight (Yellow)","Location 671","","So it is ultimately the same drive—wanting to win at life’s various competitions—that motivates both the scheming sociopath and the charming courtier."
"Highlight (Yellow)","Location 695","","To understand the competitive side of human nature, we would do well to turn Matthew 7:1 on its head: “Judge freely, and accept that you too will be judged.”"
"Highlight (Yellow)","Location 885","","Once weapons enter the picture, physical strength is no longer the most crucial factor in determining a hominid’s success within a group. It’s still important, mind you, but not singularly important. In particular, political skill—being able to identify, join, and possibly lead the most effective coalition—takes over as the determining factor."
"Highlight (Yellow)","Location 1203","","In short, we’re selfish. Not irredeemably selfish, just slightly more than our highest standards of behavior demand."
"Highlight (Yellow)","Location 1280","","We’re so vulnerable to being hurt that we’re given the capacity to distort as a gift."
"Highlight (Yellow)","Location 1336","","By this line of reasoning, it’s never useful to have secret gaps in your knowledge, or to adopt false beliefs that you keep entirely to yourself. The entire value of strategic ignorance and related phenomena lies in the way others act when they believe that you’re ignorant. As Kurzban says, “Ignorance is at its most useful when it is most public.”20 It needs to be advertised and made conspicuous."
"Highlight (Yellow)","Location 1350","","As Trivers puts it, “We deceive ourselves the better to deceive others.”"
"Highlight (Yellow)","Location 1616","","But how many of our explanations are legitimate, and how many are counterfeit? Just how pervasive is our tendency to rationalize?"
"Highlight (Yellow)","Location 1676","","In other words, even we don’t have particularly privileged access to the information and decision-making that goes on inside our minds. We think we’re pretty good at introspection, but that’s largely an illusion. In a way we’re almost like outsiders within our own minds."
"Highlight (Yellow)","Location 1784","","we have many reasons for our behaviors, but we habitually accentuate and exaggerate our pretty, prosocial motives and downplay our ugly, selfish ones."
"Highlight (Yellow)","Location 2024","","High-status individuals are also willing to call more attention to themselves. When you’re feeling meek, you generally want to be a wallflower. But when you’re feeling confident, you want the whole world to notice."
"Highlight (Yellow)","Location 2374","","What our brains choose to laugh at, then, reveals a lot about our true feelings in morally charged situations."
