Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
Supernova Era,,Cixin Liu,Fiction,No,,OWNED: Singapore,Now,No,,No
Starting Strength: Basic Barbell Training (3rd ed.),"https://www.amazon.com/Starting-Strength-Basic-Barbell-Training/dp/0982522738/ref=as_li_ss_tl?ie=UTF8&qid=1508423581&sr=8-1&keywords=starting+strength&linkCode=ll1&tag=natsite-20&linkId=12e5881684deed6ede4dd7bdb7d3f61b, Reading%20List/51MfaFsIdpL.jpg",Mark Rippetoe,Non-Fiction,No,,KINDLE,Now,No,,No
Little Fires Everywhere,,Celeste Ng,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
Someone Who Will Love You In All Your Damaged Glory,,Raphael Bob-Waskberg,Fiction,Yes,,KINDLE,Finished: 2019,No,,No
The Mythical Man-Month: Essays on Software Engineering,,Fred Brooks,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Flow: The Psychology of Optimal Experience,,Mihaly Csikszentmih,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Wayward Son,,Rainbow Rowell,Young Adult,No,,KINDLE,Finished: 2019,No,,No
Find Me,,André Aciman,Fiction,No,,OWNED: Singapore,Finished: 2019,No,https://www.amazon.com/Find-Me-Novel-Andr%C3%A9-Aciman/dp/0374155011,No
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress","https://www.amazon.com/Enlightenment-Now-Science-Humanism-Progress/dp/0525427570, Reading%20List/51baoEVDKJL.jpg",Steven Pinker,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
"Sing, Unburied, Sing",,Jesmyn Ward,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
Bad Blood: Secrets and Lies in a Silicon Valley Startup,,John Carreyrou,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Commonwealth,,Ann Patchett,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
Leonardo Da Vinci: The Biography,,Walter Isaacson,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Waste Tide,"https://www.amazon.com/Waste-Tide-Chen-Qiufan-ebook/dp/B01EJQ9PMO, Reading%20List/41EwYTEDE0L.jpg",Chen Qiufan,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
